text_key,scene_usage,text_type,display_policy,english_master,nederlands,chinese,v4_status,notes
common.001,Opening / shared controls,static,bilingual,The clock is ticking. Danger is getting closer.,De klok tikt. Het gevaar komt dichterbij.,时间正在流逝。危险正在逼近。,REUSED_REVIEWED,
common.002,Opening / shared controls,static,bilingual,Don't overthink every choice. React as you would in the moment.,Denk niet te lang na over elke keuze. Reageer zoals je op dat moment zou doen.,不要对每个选择都想太久。像你在当下真实会做的那样反应。,REUSED_REVIEWED,
common.003,Opening / shared controls,static,bilingual,"Once you choose, you cannot change that first choice.","Zodra je kiest, kun je die eerste keuze niet meer veranderen.",一旦做出选择，你就不能更改第一次选择。,REUSED_REVIEWED,
common.004,Opening / shared controls,static,bilingual,[CONTINUE],[DOORGAAN],[继续],REUSED_REVIEWED,
common.005,Opening / shared controls,static,bilingual,[CLOSE],[SLUITEN],[关闭],REUSED_REVIEWED,
act01-g.001,ACT 1 — Gitte,static,bilingual,"A low, sticky, wet-sounding voice keeps whispering:","Een lage, kleverige, nat klinkende stem blijft fluisteren:",一个低沉、黏糊、湿漉漉的声音在反复低语：,REUSED_REVIEWED,
act01-g.002,ACT 1 — Gitte,static,bilingual,The Snake King in the Chapel... is very angry.,De Slangenkoning in de kapel... is heel kwaad.,礼拜堂里的蛇王……很生气。,REUSED_REVIEWED,
act01-g.003,ACT 1 — Gitte,static,bilingual,You wake up in an old wooden bed. The voice is gone.,Je wordt wakker in een oud houten bed. De stem is weg.,你在一张旧木床上醒来。那个声音消失了。,REUSED_REVIEWED,
act01-g.004,ACT 1 — Gitte,static,bilingual,TIME — 23:47,TIJD — 23:47,时间 — 23:47,REUSED_REVIEWED,
act01-g.005,ACT 1 — Gitte,static,bilingual,NO SIGNAL,GEEN SIGNAAL,无信号,REUSED_REVIEWED,
act01-g.006,ACT 1 — Gitte,static,bilingual,01 Gitte’s Room,01 Gittes kamer,01 Gitte的房间,UPDATED_V4,Typography aligned with V4.0.
act01-g.007,ACT 1 — Gitte,static,bilingual,4 – 1 – 7 – 3 – 9,4 – 1 – 7 – 3 – 9,4 – 1 – 7 – 3 – 9,REUSED_REVIEWED,
act01-g.008,ACT 1 — Gitte,static,bilingual,LEAVE BEFORE MIDNIGHT,VERTREK VOOR MIDDERNACHT,午夜前离开,REUSED_REVIEWED,
act01-g.009,ACT 1 — Gitte,static,bilingual,Library,Bibliotheek,图书馆,REUSED_REVIEWED,
common.006,COMMON / Map location,static,bilingual,Main Hall,Hoofdhal,主厅,NEW_V4,Added because V4.0 map now explicitly contains Main Hall.
act01-g.010,ACT 1 — Gitte,static,bilingual,Great Hall,Grote Zaal,大厅,REUSED_REVIEWED,
act01-g.011,ACT 1 — Gitte,static,bilingual,Main Gate,Hoofdpoort,主门,REUSED_REVIEWED,
act01-g.012,ACT 1 — Gitte,static,bilingual,West Tower,Westtoren,西塔,REUSED_REVIEWED,
act01-g.013,ACT 1 — Gitte,static,bilingual,Chapel,Kapel,礼拜堂,REUSED_REVIEWED,
act01-g.014,ACT 1 — Gitte,static,bilingual,Portrait Hall,Portrettengalerij,肖像长廊,REUSED_REVIEWED,
act01-g.015,ACT 1 — Gitte,static,bilingual,Clock Room,Klokkenkamer,钟表室,REUSED_REVIEWED,
act01-g.016,ACT 1 — Gitte,static,bilingual,Bang.,Boem.,咚。,REUSED_REVIEWED,
act01-g.017,ACT 1 — Gitte,static,bilingual,Something seems to hit the wall.,Het klinkt alsof er iets tegen de muur botst.,像有东西撞上了墙。,REUSED_REVIEWED,
act01-g.018,ACT 1 — Gitte,static,bilingual,What do you do first?,Wat doe je eerst?,你首先做什么？,REUSED_REVIEWED,
act01-g.019,ACT 1 — Gitte,static,bilingual,Study the map carefully.,Bestudeer de kaart zorgvuldig.,仔细研究地图。,REUSED_REVIEWED,
act01-g.020,ACT 1 — Gitte,static,bilingual,Check the noise at the door immediately.,Ga meteen bij de deur kijken waar het geluid vandaan kwam.,立即去门边查看声音。,REUSED_REVIEWED,
act01-g.021,ACT 1 — Gitte,static,bilingual,Study the number note carefully.,Bestudeer het briefje met de cijfers zorgvuldig.,仔细研究数字纸条。,REUSED_REVIEWED,
act01-g.022,ACT 1 — Gitte,static,bilingual,Search the room.,Doorzoek de kamer.,搜索房间。,REUSED_REVIEWED,
act01-g.023,ACT 1 — Gitte,static,bilingual,The Library has clear routes connecting different areas.,De Bibliotheek heeft duidelijke routes die verschillende delen met elkaar verbinden.,图书馆有明确通路连接不同区域。,REUSED_REVIEWED,
act01-g.024,ACT 1 — Gitte,static,bilingual,There is an inner iron-gate structure near the Great Hall.,Bij de Grote Zaal is een constructie met een ijzeren binnenpoort.,大厅附近有一处内侧铁门结构。,REUSED_REVIEWED,
act01-g.025,ACT 1 — Gitte,static,bilingual,You move to the door and look outside.,Je gaat naar de deur en kijkt naar buiten.,你走到门边向外看。,REUSED_REVIEWED,
act01-g.026,ACT 1 — Gitte,static,bilingual,A shadow darts past at the end of the corridor.,Aan het einde van de gang schiet een schaduw voorbij.,走廊尽头有一个人影快速闪过。,REUSED_REVIEWED,
act01-g.027,ACT 1 — Gitte,static,bilingual,"A few seconds later, you hear metal scraping in the distance.",Een paar seconden later hoor je in de verte metaal schuren.,几秒后，你听见远处传来金属摩擦声。,REUSED_REVIEWED,
act01-g.028,ACT 1 — Gitte,static,bilingual,[FLIP],[OMDRAAIEN],[翻面],REUSED_REVIEWED,
act01-g.029,ACT 1 — Gitte,static,bilingual,★,★,★,REUSED_REVIEWED,
act01-g.030,ACT 1 — Gitte,static,bilingual,You find an old flashlight under the bed.,Onder het bed vind je een oude zaklamp.,你在床下找到一只旧手电筒。,REUSED_REVIEWED,
act01-g.031,ACT 1 — Gitte,static,bilingual,Waiting for the others...,Wachten op de anderen...,等待其他人……,REUSED_REVIEWED,
act01-g.032,ACT 1 — Gitte,static,bilingual,Ready,Klaar,已准备,REUSED_REVIEWED,
act01-g.033,ACT 1 — Gitte,static,bilingual,Waiting,Wachten,等待中,REUSED_REVIEWED,
act01-a.001,ACT 1 — Anna,static,bilingual,You wake up sitting on the cold floor.,Je wordt wakker terwijl je op de koude vloer zit.,你醒来时正坐在冰冷的地板上。,REUSED_REVIEWED,
act01-a.002,ACT 1 — Anna,static,bilingual,02 Anna’s Room,02 Anna's kamer,02 Anna的房间,UPDATED_V4,Typography aligned with V4.0.
act01-a.003,ACT 1 — Anna,static,bilingual,M. DE WIT — 1897,M. DE WIT — 1897,M. DE WIT — 1897,REUSED_REVIEWED,
act01-a.004,ACT 1 — Anna,static,bilingual,EAST GUEST WING,OOSTELIJKE GASTENVLEUGEL,东侧客房区,REUSED_REVIEWED,
act01-a.005,ACT 1 — Anna,static,bilingual,"AFTER THE NIGHT BELL, THE GREAT HALL OUTER ACCESS IS SEALED FROM INSIDE.",NA DE NACHTKLOK WORDT DE BUITENTOEGANG TOT DE GROTE ZAAL VAN BINNENUIT AFGESLOTEN.,夜钟响过后，大厅的外部入口会从内部封闭。,REUSED_REVIEWED,
act01-a.006,ACT 1 — Anna,static,bilingual,Read the diary.,Lees het dagboek.,阅读日记。,REUSED_REVIEWED,
act01-a.007,ACT 1 — Anna,static,bilingual,Check the wooden door.,Controleer de houten deur.,检查木门。,REUSED_REVIEWED,
act01-a.008,ACT 1 — Anna,static,bilingual,Check your phone.,Kijk op je telefoon.,查看手机。,REUSED_REVIEWED,
act01-a.009,ACT 1 — Anna,static,bilingual,Inspect the vent.,Controleer het ventilatierooster.,检查通风口。,REUSED_REVIEWED,
act01-a.010,ACT 1 — Anna,static,bilingual,"Near midnight, the old heating passages warm again. The snakes leave the lower tunnels.",Rond middernacht worden de oude verwarmingsgangen weer warm. De slangen verlaten de lagere tunnels.,接近午夜时，旧暖气通道会再次变暖。蛇会离开地下通道。,REUSED_REVIEWED,
act01-a.011,ACT 1 — Anna,static,bilingual,The lock can be opened from inside.,Het slot kan van binnenuit worden geopend.,门锁可以从内部打开。,REUSED_REVIEWED,
act01-a.012,ACT 1 — Anna,static,bilingual,There are old scratches on the back of the lock.,Aan de achterkant van het slot zitten oude krassen.,锁背面有旧刻痕。,REUSED_REVIEWED,
act01-a.013,ACT 1 — Anna,static,bilingual,LIBRARY — CENTRAL PASSAGE,BIBLIOTHEEK — CENTRALE DOORGANG,图书馆 — 中央通道,REUSED_REVIEWED,
act01-a.014,ACT 1 — Anna,static,bilingual,LOCAL DEVICES DETECTED: 2,LOKALE APPARATEN GEDETECTEERD: 2,检测到本地设备：2,REUSED_REVIEWED,
act01-a.015,ACT 1 — Anna,static,bilingual,You feel an unusually warm draft.,Je voelt een ongewoon warme luchtstroom.,你感觉到一股异常温热的空气。,REUSED_REVIEWED,
act01-a.016,ACT 1 — Anna,static,bilingual,A faint scraping sound comes from inside.,Van binnen klinkt een heel zacht schurend geluid.,里面传来很轻的摩擦声。,REUSED_REVIEWED,
act01-l.001,ACT 1 — Linda,static,bilingual,You wake up in a small study.,Je wordt wakker in een kleine studeerkamer.,你在一间小书房里醒来。,REUSED_REVIEWED,
act01-l.002,ACT 1 — Linda,static,bilingual,TIME — 23:49,TIJD — 23:49,时间 — 23:49,REUSED_REVIEWED,
act01-l.003,ACT 1 — Linda,static,bilingual,03 Linda’s Study,03 Linda's studeerkamer,03 Linda的书房,UPDATED_V4,Use 'studeerkamer' for Study.
act01-l.004,ACT 1 — Linda,static,bilingual,23:49,23:49,23:49,REUSED_REVIEWED,
act01-l.005,ACT 1 — Linda,static,bilingual,★ SILVER KEY,★ ZILVEREN SLEUTEL,★ 银钥匙,REUSED_REVIEWED,
act01-l.006,ACT 1 — Linda,static,bilingual,You stand up and hit the edge of the desk.,Je staat op en stoot tegen de rand van het bureau.,你站起来时撞到了桌边。,REUSED_REVIEWED,
act01-l.007,ACT 1 — Linda,static,bilingual,The heavy book falls to the floor.,Het zware boek valt op de vloer.,那本厚重的书掉到了地上。,REUSED_REVIEWED,
act01-l.008,ACT 1 — Linda,static,bilingual,A yellowed paper slips out from between the pages.,Een vergeeld vel papier glijdt tussen de bladzijden vandaan.,一张泛黄的纸从书页之间滑了出来。,REUSED_REVIEWED,
act01-l.009,ACT 1 — Linda,static,nl_only_artifact,MUNICIPALITY OF LAARNE,GEMEENTE LAARNE,拉尔讷市政府,UPDATED_V4,1897 artifact; Dutch-only at runtime. Runtime displays Dutch only; Chinese is review-only.
act01-l.010,ACT 1 — Linda,static,nl_only_artifact,CLOSURE ORDER — 01. 04. 1897,SLUITINGSBEVEL — 01. 04. 1897,封闭令 — 1897.04.01,UPDATED_V4,1897 artifact; Dutch-only at runtime. Runtime displays Dutch only; Chinese is review-only.
act01-l.011,ACT 1 — Linda,static,nl_only_artifact,WEST TOWER CLOSED UNTIL FURTHER NOTICE,WESTTOREN TOT NADER ORDER GESLOTEN,西塔关闭，直至另行通知,UPDATED_V4,1897 artifact; Dutch-only at runtime. Runtime displays Dutch only; Chinese is review-only.
act01-l.012,ACT 1 — Linda,static,bilingual,Read the municipal closure notice carefully.,Lees het gemeentelijke sluitingsbevel zorgvuldig.,仔细阅读政府封闭通知。,REUSED_REVIEWED,
act01-l.013,ACT 1 — Linda,static,bilingual,Examine the pocket watch.,Onderzoek het zakhorloge.,研究怀表。,REUSED_REVIEWED,
act01-l.014,ACT 1 — Linda,static,bilingual,Try the ★ Silver Key in the door.,Probeer de ★ zilveren sleutel in de deur.,用★银钥匙试门。,REUSED_REVIEWED,
act01-l.015,ACT 1 — Linda,static,bilingual,Check behind the cracked mirror.,Kijk achter de gebarsten spiegel.,检查碎镜子背后。,REUSED_REVIEWED,
act01-l.016,ACT 1 — Linda,static,nl_only_artifact,"By order of the Municipality of Laarne, the West Tower and the adjoining western service passages are closed until further notice because of unsafe masonry and reports of venomous snakes. Entry is forbidden.",Op bevel van de Gemeente Laarne worden de Westtoren en de aangrenzende westelijke dienstgangen tot nader order gesloten wegens onveilige toestand van het metselwerk en meldingen van giftige slangen. Toegang verboden.,奉拉尔讷市政府命令，西塔及相邻的西侧服务通道因砌体结构存在安全隐患并有毒蛇出没报告而关闭，直至另行通知。禁止进入。,UPDATED_V4,1897 artifact; Dutch-only at runtime. Chinese retained here only for review. Runtime displays Dutch only; Chinese is review-only.
act01-l.017,ACT 1 — Linda,static,bilingual,REMEMBER WHEN YOU WOKE.,ONTHOUD WANNEER JE WAKKER WERD.,记住你醒来的时间。,REUSED_REVIEWED,
act01-l.018,ACT 1 — Linda,static,bilingual,"The silver key fits into the keyhole, but it won't turn.","De zilveren sleutel past in het sleutelgat, maar draait niet.",银钥匙能插进锁孔，但转不动。,REUSED_REVIEWED,
act01-l.019,ACT 1 — Linda,static,bilingual,It cannot open this door.,Deze deur gaat er niet mee open.,它打不开这扇门。,REUSED_REVIEWED,
act01-l.020,ACT 1 — Linda,static,bilingual,There is writing carved into the stone behind the mirror frame.,Achter de spiegellijst staat tekst in de steen gekrast.,镜框背后的石墙上刻着文字。,REUSED_REVIEWED,
act01-l.021,ACT 1 — Linda,static,bilingual,"WHEN THE LAST BELL RINGS, DO NOT FOLLOW THE WARM AIR.","ALS DE LAATSTE KLOK SLAAT, VOLG DAN DE WARME LUCHT NIET.",当最后的钟声响起时，不要跟着暖空气走。,REUSED_REVIEWED,
act02.001,ACT 2 — First Contact,static,bilingual,TIME — 23:50,TIJD — 23:50,时间 — 23:50,REUSED_REVIEWED,
act02.002,ACT 2 — First Contact,static,bilingual,SIGNAL UNSTABLE,SIGNAAL ONSTABIEL,信号不稳定,REUSED_REVIEWED,
act02.003,ACT 2 — First Contact,static,bilingual,You only have time to send one message before you move.,Je hebt alleen tijd om één bericht te sturen voordat je moet vertrekken.,你只有时间发送一条消息，然后就必须行动。,REUSED_REVIEWED,
act02.004,ACT 2 — First Contact,static,bilingual,I'm heading to the Library.,Ik ga naar de Bibliotheek.,我去图书馆。,REUSED_REVIEWED,
act02.005,ACT 2 — First Contact,static,bilingual,I'm heading to the Great Hall.,Ik ga naar de Grote Zaal.,我去大厅。,REUSED_REVIEWED,
act02.006,ACT 2 — First Contact,static,bilingual,I'm heading to the Main Gate.,Ik ga naar de Hoofdpoort.,我去主门。,REUSED_REVIEWED,
act02.007,ACT 2 — First Contact,static,bilingual,I'm heading to the West Tower.,Ik ga naar de Westtoren.,我去西塔。,REUSED_REVIEWED,
act02.008,ACT 2 — First Contact,static,bilingual,I'm heading to the Chapel.,Ik ga naar de Kapel.,我去礼拜堂。,REUSED_REVIEWED,
act02.009,ACT 2 — First Contact,static,bilingual,"Help! I have to move. Scared, don't know where to go. Where to meet?",Help! Ik moet weg. Ik ben bang en weet niet waarheen. Waar spreken we af?,救命！我必须离开这里。我很害怕，不知道该去哪。我们在哪里会合？,REUSED_REVIEWED,
act02.010,ACT 2 — First Contact,template,bilingual,{player_display_name} → {location},{player_display_name} → {location},{player_display_name} → {location},UPDATED_V4,Runtime template; location value must already be localized.
act02.011,ACT 2 — First Contact,template,bilingual,"{player_display_name} → Help! I have to move. Scared, don't know where to go. Where to meet?",{player_display_name} → Help! Ik moet weg. Ik ben bang en weet niet waar ik heen moet. Waar spreken we af?,{player_display_name} → 救命！我得离开这里。我很害怕，不知道该去哪里。我们在哪里会合？,UPDATED_V4,Runtime template; do not hard-code a player name.
act02.012,ACT 2 — First Contact,static,bilingual,Take what you may need.,Neem mee wat je nodig kunt hebben.,带上你可能会需要的东西。,REUSED_REVIEWED,
act02.013,ACT 2 — First Contact,static,bilingual,The castle rarely gives anyone a second chance.,Het kasteel geeft zelden iemand een tweede kans.,这座城堡很少给人第二次机会。,REUSED_REVIEWED,
act02.014,ACT 2 — First Contact,static,bilingual,[GRAB],[MEENEMEN],[拿上],REUSED_REVIEWED,
act02.015,ACT 2 — First Contact,static,bilingual,POCKET,INVENTARIS,随身物品,REUSED_REVIEWED,
act02.016,ACT 2 — First Contact,static,bilingual,MY ITEMS,MIJN VOORWERPEN,我的物品,REUSED_REVIEWED,
act02.017,ACT 2 — First Contact,static,bilingual,MY MEMORIES & OBSERVATIONS,MIJN HERINNERINGEN & WAARNEMINGEN,我的记忆与观察,REUSED_REVIEWED,
act02.018,ACT 2 — First Contact,static,bilingual,SHARED PHOTOS,GEDEELDE FOTO'S,共享照片,REUSED_REVIEWED,
